Customer_ID,Segment_Name,Is_Silent_Attrition,Risk_Score,Risk_Tier,FY25_HSIC_SoW,FY26_HSIC_SoW,SoW_Change_pp,Top_Diverted_Category,Risk_Radar_Reason,Next_Best_Offer,Wallet_Opportunity,NBO_Rule_Triggered,Recommended_Action,Strategy_Details,Dominant_Alternative_Method
99610,Low Engagement,False,0.0,Low Risk,0.0,0.0,0.0,None (100% Captured),Share of Wallet expanded by +0.0 pp (reaching 0.0%). Exceptional co-branded card loyalty.,Complimentary 1-Year MetroMart Prime Upgrade as Top Customer Loyalty Reward,0.0,IF 100% HSIC Loyalty AND Non-Prime Member,Prime Conversion Loyalty Reward,Award complimentary Prime membership to reward 100% card loyalty and cement long-term brand retention.,None (Exclusive HSIC)
22456,High Opportunity,False,50.4,Moderate Risk,5.96,0.0,-5.96,None (100% Captured),Share of Wallet expanded by +-6.0 pp (reaching 0.0%). Exceptional co-branded card loyalty.,Complimentary 1-Year MetroMart Prime Upgrade as Top Customer Loyalty Reward,5865.25,IF 100% HSIC Loyalty AND Non-Prime Member,Prime Conversion Loyalty Reward,Award complimentary Prime membership to reward 100% card loyalty and cement long-term brand retention.,None (Exclusive HSIC)
63403,Low Engagement,False,0.0,Low Risk,0.0,0.0,0.0,None (100% Captured),Share of Wallet expanded by +0.0 pp (reaching 0.0%). Exceptional co-branded card loyalty.,Complimentary 1-Year MetroMart Prime Upgrade as Top Customer Loyalty Reward,0.0,IF 100% HSIC Loyalty AND Non-Prime Member,Prime Conversion Loyalty Reward,Award complimentary Prime membership to reward 100% card loyalty and cement long-term brand retention.,None (Exclusive HSIC)
72905,High Opportunity,False,29.1,Low Risk,0.0,0.0,0.0,None (100% Captured),Share of Wallet expanded by +0.0 pp (reaching 0.0%). Exceptional co-branded card loyalty.,Complimentary 1-Year MetroMart Prime Upgrade as Top Customer Loyalty Reward,6837.45,IF 100% HSIC Loyalty AND Non-Prime Member,Prime Conversion Loyalty Reward,Award complimentary Prime membership to reward 100% card loyalty and cement long-term brand retention.,None (Exclusive HSIC)
76339,Loyal HSIC Customer,False,0.0,Low Risk,0.0,100.0,100.0,None (100% Captured),Share of Wallet expanded by +100.0 pp (reaching 100.0%). Exceptional co-branded card loyalty.,Complimentary 1-Year MetroMart Prime Upgrade as Top Customer Loyalty Reward,0.0,IF 100% HSIC Loyalty AND Non-Prime Member,Prime Conversion Loyalty Reward,Award complimentary Prime membership to reward 100% card loyalty and cement long-term brand retention.,None (Exclusive HSIC)
11966,Low Engagement,False,0.0,Low Risk,0.0,12.75,12.75,None (100% Captured),Share of Wallet expanded by +12.8 pp (reaching 12.8%). Exceptional co-branded card loyalty.,Complimentary 1-Year MetroMart Prime Upgrade as Top Customer Loyalty Reward,0.0,IF 100% HSIC Loyalty AND Non-Prime Member,Prime Conversion Loyalty Reward,Award complimentary Prime membership to reward 100% card loyalty and cement long-term brand retention.,None (Exclusive HSIC)
98332,Silent Attrition,True,85.1,High Risk,30.17,0.0,-30.17,None (100% Captured),Share of Wallet expanded by +-30.2 pp (reaching 0.0%). Exceptional co-branded card loyalty.,Complimentary 1-Year MetroMart Prime Upgrade as Top Customer Loyalty Reward,7433.32,IF 100% HSIC Loyalty AND Non-Prime Member,Prime Conversion Loyalty Reward,Award complimentary Prime membership to reward 100% card loyalty and cement long-term brand retention.,None (Exclusive HSIC)
18341,Low Engagement,False,20.0,Low Risk,0.0,3.77,3.77,None (100% Captured),Share of Wallet expanded by +3.8 pp (reaching 3.8%). Exceptional co-branded card loyalty.,Complimentary 1-Year MetroMart Prime Upgrade as Top Customer Loyalty Reward,0.0,IF 100% HSIC Loyalty AND Non-Prime Member,Prime Conversion Loyalty Reward,Award complimentary Prime membership to reward 100% card loyalty and cement long-term brand retention.,None (Exclusive HSIC)
90680,Low Engagement,False,0.0,Low Risk,0.0,0.0,0.0,None (100% Captured),Share of Wallet expanded by +0.0 pp (reaching 0.0%). Exceptional co-branded card loyalty.,Complimentary 1-Year MetroMart Prime Upgrade as Top Customer Loyalty Reward,-0.0,IF 100% HSIC Loyalty AND Non-Prime Member,Prime Conversion Loyalty Reward,Award complimentary Prime membership to reward 100% card loyalty and cement long-term brand retention.,None (Exclusive HSIC)
16606,Low Engagement,False,0.0,Low Risk,0.0,0.0,0.0,None (100% Captured),Share of Wallet expanded by +0.0 pp (reaching 0.0%). Exceptional co-branded card loyalty.,Complimentary 1-Year MetroMart Prime Upgrade as Top Customer Loyalty Reward,0.0,IF 100% HSIC Loyalty AND Non-Prime Member,Prime Conversion Loyalty Reward,Award complimentary Prime membership to reward 100% card loyalty and cement long-term brand retention.,None (Exclusive HSIC)
